states,seed,A_skip_gbps,B_noskip_gbps,C_packed_gbps,C_over_B,C_over_A,gpu
8,0,40.96,11.907,15.969,1.341,0.39,A100-SXM4-40GB
8,1,42.446,12.431,20.078,1.615,0.473,A100-SXM4-40GB
16,0,12.76,6.726,13.364,1.987,1.047,A100-SXM4-40GB
16,1,12.564,6.72,10.304,1.533,0.82,A100-SXM4-40GB
24,0,9.133,4.639,9.373,2.021,1.026,A100-SXM4-40GB
24,1,79.534,78.769,8.973,0.114,0.113,A100-SXM4-40GB
32,0,6.867,3.426,6.687,1.952,0.974,A100-SXM4-40GB
32,1,6.942,3.457,6.512,1.884,0.938,A100-SXM4-40GB
