matrix,kernel,issue_active_pct,thread_inst_per_inst,occupancy_pct,inst_executed_M,gpu
powerlaw,tile,43.32,30.10,48.13,41.84,RTX4070
powerlaw,thread,34.97,7.71,77.12,16.31,RTX4070
