states,seed,triton_gbps,cuda_gbps,regret,gpu
16,0,18.583,227.556,12.246,RTX4070
16,1,21.629,227.556,10.521,RTX4070
16,2,21.515,204.8,9.519,RTX4070
32,0,21.223,214.345,10.1,RTX4070
32,1,22.322,221.405,9.919,RTX4070
32,2,22.805,222.533,9.758,RTX4070
48,0,23.08,228.15,9.885,RTX4070
48,1,23.141,234.057,10.114,RTX4070
48,2,22.891,240.941,10.526,RTX4070
64,0,21.742,227.556,10.466,RTX4070
64,1,24.243,227.556,9.386,RTX4070
64,2,20.845,242.277,11.623,RTX4070
