batch,nw1_gbps,nw2_gbps,nw4_gbps,nw8_gbps,nw1_over_nw4,gpu
4096,75.285,49.951,27.216,14.367,2.766,RTX4070
16384,100.208,55.448,29.127,14.895,3.440,RTX4070
65536,121.139,64.314,32.842,16.458,3.689,RTX4070
