backend,technique,states,n_strings,duration_us,thread_inst,warp_inst,grid,block,occupancy_pct,thread_inst_per_inst,gpu
triton,worklist,64,2048,142.05,1741658880,54430808,2048,128,90.16,32.00,RTX4070
cuda,worklist,64,2048,22.40,18388861,606127,8,256,16.53,30.34,RTX4070
