kernel,states,table_kb,n_strings,duration_us,dram_pct,occupancy_pct,gpu
dfa_packed_triton,1024,1024,16384,55.07,9.85,20.20,RTX4070
dfa_packed_triton,16384,16384,16384,127.46,14.59,19.56,RTX4070
